name,price,stock,category,image_url,discount_rate,sales,tag,location,description,brand
[12brix 당도선별] 고당도 프리미엄 복숭아 4kg 8-12과,54900,30,과일,https://sitem.ssgcdn.com/76/86/72/item/1000704728676_i1_232.jpg,0,0,#간식과일 #달달한 #복숭아,,,다농이네
[12brix 당도선별] 고당도 프리미엄 복숭아 2kg 4-6과,41800,60,과일,https://sitem.ssgcdn.com/71/85/46/item/1000605468571_i1_232.jpg,0,0,#간식과일 #달달한 #복숭아,,,다농이네
미국산 냉동 블루베리 1.5kg 봉,14980,50,과일,https://sitem.ssgcdn.com/32/00/10/item/1000027100032_i1_290.jpg,0,0,#간식과일 #블루베리 #수입산,,,
성주 참외 3~8입 봉,13900,50,과일,https://sitem.ssgcdn.com/00/12/84/item/1000549841200_i1_290.jpg,0,0,#간식과일 #국산과일 #참외,,,
[정용규님 생산] 못생겨도 맛있는 부여 못난이 수박 7kg이상,22800,0,과일,https://sitem.ssgcdn.com/67/46/17/item/1000069174667_i1_290.jpg,0,0,#국산과일 #못난이과일 #수박,,,다농이네
달콤한 백도 복숭아 4kg 16과내,37800,20,과일,https://sitem.ssgcdn.com/82/66/77/item/0000008776682_i1_290.jpg,0,0,#간식과일 #달달한 #복숭아,,,다농이네
사과 알뜰 중소과 4kg(13~19과),26900,10,과일,https://sitem.ssgcdn.com/62/23/34/item/1000588342362_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,장길영사과
맑은청 찰토마토 1.2kg 팩,6980,10,과일,https://sitem.ssgcdn.com/77/73/07/item/1000028077377_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
맑은청 강원 깜빠리 토마토 700g 팩,9980,10,과일,https://sitem.ssgcdn.com/20/85/01/item/1000389018520_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
페루산 바로 먹는 후숙 아보카도 600g 팩,7980,40,과일,https://sitem.ssgcdn.com/16/02/38/item/1000682380216_i1_290.jpg,0,0,#간식과일 #비타민충전 #수입산,,,
[필리핀산] Dole 컷파인애플 조각형 (400g),5980,20,과일,https://sitem.ssgcdn.com/04/89/85/item/1000042858904_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,dole
[필리핀산] Dole 컷파인애플 (540g),8490,50,과일,https://sitem.ssgcdn.com/75/32/84/item/1000042843275_i1_290.jpg,15,0,#간식과일 #비타민충전 #제철과일,,,dole
맑은청 방울토마토 750g 팩,12200,10,과일,https://sitem.ssgcdn.com/82/49/28/item/1000006284982_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
페루산 냉동 반쪽 아보카도 1kg 봉,11980,10,과일,https://sitem.ssgcdn.com/65/46/38/item/1000028384665_i1_290.jpg,0,0,#간식과일 #비타민충전 #수입산,,,
맑은청 흑토마토 700g 팩,5950,60,과일,https://sitem.ssgcdn.com/13/85/01/item/1000389018513_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
미국산 항공직송 워싱턴체리 700g 팩,16980,10,과일,https://sitem.ssgcdn.com/73/42/02/item/1000022024273_i1_290.jpg,0,0,#간식과일 #수입산 #체리,,,
페루산 냉동 딸기 1.5kg 봉,11980,10,과일,https://sitem.ssgcdn.com/94/26/77/item/1000288772694_i1_290.jpg,0,0,#간식과일 #딸기 #수입산,,,
대추방울토마토 1kg 팩,8980,0,과일,https://sitem.ssgcdn.com/45/09/85/item/1000017850945_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
[에콰도르산] 달콤 바나나 (1kg내외),3980,10,과일,https://sitem.ssgcdn.com/13/90/11/item/1000044119013_i1_290.jpg,0,0,#간식과일 #달달한 #비타민충전,,,
필리핀산 S&W 디럭스 GOLD 파인애플 1통 (1.9kg내외),7580,40,과일,https://sitem.ssgcdn.com/81/30/40/item/1000288403081_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
천도복숭아 6~13입 팩,13900,50,과일,https://sitem.ssgcdn.com/88/12/80/item/0000006801288_i1_290.jpg,0,0,#간식과일 #복숭아 #비타민충전,,,
하미과 메론 1통,9980,40,과일,https://sitem.ssgcdn.com/91/12/07/item/1000018071291_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
당찬 사과 1.3kg 봉,13900,60,과일,https://sitem.ssgcdn.com/75/28/60/item/1000008602875_i1_290.jpg,24,0,#간식과일 #비타민충전 #제철과일,,,
[냉동] 유기농 스위트체리 500g,11980,50,과일,https://sitem.ssgcdn.com/68/55/51/item/1000019515568_i1_290.jpg,6,0,#간식과일 #달달한 #체리,,,
경산 대추칩,3500,40,과일,https://sitem.ssgcdn.com/36/81/66/item/1000355668136_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,JAJU
[필리핀산] Dole 스위티오 바나나 (1kg내외),5980,30,과일,https://sitem.ssgcdn.com/70/96/16/item/1000038169670_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,dole
[코스타리카산] 치키타 바나나 (1.2kg내외),4980,0,과일,https://sitem.ssgcdn.com/94/49/62/item/1000595624994_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
더달콤 스테비아 대추방울토마토 550g 팩,6980,20,과일,https://sitem.ssgcdn.com/20/64/17/item/1000043176420_i1_290.jpg,3,0,#간식과일 #달달한 #비타민충전,,,
머스크 메론 1통,13200,20,과일,https://sitem.ssgcdn.com/39/13/81/item/1000027811339_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
완숙토마토 2kg 팩,10880,20,과일,https://sitem.ssgcdn.com/83/50/05/item/1000594055083_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
초록사과 1.3kg 봉,12900,40,과일,https://sitem.ssgcdn.com/66/65/00/item/0000010006566_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
페루산 아보카도 1개,1990,20,과일,https://sitem.ssgcdn.com/14/20/92/item/1000603922014_i1_290.jpg,0,0,#간식과일 #비타민충전 #수입산,,,
하우스감귤 1.4kg 팩,21900,10,과일,https://sitem.ssgcdn.com/92/65/45/item/0000010456592_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
씨가 적어 먹기 편한 수박 7~8kg미만,30900,30,과일,https://sitem.ssgcdn.com/08/05/21/item/0000008210508_i1_290.jpg,0,0,#간식과일 #비타민충전 #수박,,,파머스픽
거봉 1kg 팩,18980,50,과일,https://sitem.ssgcdn.com/96/64/16/item/1000608166496_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
미니 사과 (1.5kg내외),12980,60,과일,https://sitem.ssgcdn.com/15/88/83/item/1000567838815_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
[에콰도르산] 하루과일 바나나 (420g내외),1980,50,과일,https://sitem.ssgcdn.com/05/83/39/item/1000062398305_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
뉴질랜드산 골드키위 1개,1580,50,과일,https://sitem.ssgcdn.com/52/05/53/item/1000008530552_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,제스프리
저탄소인증 성주참외 1.2kg내외,9980,10,과일,https://sitem.ssgcdn.com/17/89/30/item/1000061308917_i1_290.jpg,0,0,#간식과일 #국산과일 #참외,,,자연주의
"[미국산] 퓨어스펙 고당도 오렌지 (5~8입, 1.4kg내외)",9980,10,과일,https://sitem.ssgcdn.com/81/62/62/item/0000007626281_i1_290.jpg,0,0,#감귤류 #달달한 #수입산,,,퓨어스펙
썬뷰 유기농 건청포도 198g,6900,50,과일,https://sitem.ssgcdn.com/32/04/30/item/1000028300432_i1_290.jpg,0,0,#간식과일 #비타민충전 #포도,,,
뉴질랜드산 썬골드키위 1.1kg내외 팩,17980,40,과일,https://sitem.ssgcdn.com/92/28/43/item/1000005432892_i1_290.jpg,9,0,#간식과일 #비타민충전 #제철과일,,,제스프리
[폴란드산] 냉동 유기농 딸기 500g,9980,40,과일,https://sitem.ssgcdn.com/50/44/57/item/1000618574450_i1_290.jpg,24,0,#간식과일 #딸기 #비타민충전,,,
대추야자 디글렛누어 350g,8480,60,과일,https://sitem.ssgcdn.com/35/41/03/item/1000040034135_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
호주산 네이블 오렌지 2kg내외 봉,9980,30,과일,https://sitem.ssgcdn.com/15/07/00/item/1000443000715_i1_290.jpg,0,0,#간식과일 #감귤류 #비타민충전,,,
당도선별 부드러운 황도 복숭아 1.8kg 박스,29900,40,과일,https://sitem.ssgcdn.com/84/15/34/item/1000697341584_i1_290.jpg,0,0,#간식과일 #달달한 #복숭아,,,
애플토마토 600g/팩,7980,20,과일,https://sitem.ssgcdn.com/23/51/66/item/1000268665123_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,파머스픽
[베트남산] 건망고슬라이스 250g,9990,20,과일,https://sitem.ssgcdn.com/92/68/49/item/1000632496892_i1_290.jpg,0,0,#간식과일 #망고 #비타민충전,,,
대추방울토마토 750g (팩),9990,40,과일,https://sitem.ssgcdn.com/45/69/08/item/1000632086945_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
샤인머스캣 1.2kg 팩,24580,10,과일,https://sitem.ssgcdn.com/41/15/66/item/1000556661541_i1_290.jpg,27,0,#간식과일 #비타민충전 #포도,,,
반전 참외 2kg 봉,11000,20,과일,https://sitem.ssgcdn.com/73/63/03/item/0000007036373_i1_290.jpg,0,0,#간식과일 #비타민충전 #참외,,,
페루산 냉동 애플망고 1.2kg 봉,9980,40,과일,https://sitem.ssgcdn.com/51/43/40/item/1000059404351_i1_290.jpg,0,0,#간식과일 #망고 #수입산,,,
[필리핀산] Dole 스위티오 바나나 (1.2kg내외),5990,20,과일,https://sitem.ssgcdn.com/31/32/54/item/1000033543231_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,dole
[뉴질랜드산] 친환경 제스프리 점보 썬골드키위 6~7입/팩 (940g내외),13500,0,과일,https://sitem.ssgcdn.com/97/68/34/item/1000554346897_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,제스프리
하우스 돌빌레감귤 1kg 팩,15900,20,과일,https://sitem.ssgcdn.com/09/98/79/item/1000011799809_i1_290.jpg,6,0,#간식과일 #비타민충전 #제철과일,,,
에콰도르산 스위트마운틴 바나나 1.1kg내외,4490,10,과일,https://sitem.ssgcdn.com/23/40/38/item/1000687384023_i1_290.jpg,0,0,#간식과일 #달달한 #비타민충전,,,스미후루
저탄소인증 영주사과 4~7입/봉 (1.3kg),16500,10,과일,https://sitem.ssgcdn.com/04/95/80/item/1000184809504_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,자연주의
당도선별 수박 9~10kg미만,39900,10,과일,https://sitem.ssgcdn.com/54/44/06/item/1000588064454_i1_290.jpg,0,0,#간식과일 #달달한 #수박,,,
당도선별 부드러운 백도 복숭아 1.8kg 박스,29900,0,과일,https://sitem.ssgcdn.com/58/03/54/item/1000707540358_i1_290.jpg,0,0,#간식과일 #달달한 #복숭아,,,
완숙토마토 2kg (팩),17900,40,과일,https://sitem.ssgcdn.com/37/60/10/item/1000632106037_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
초록사과(썸머킹) 1.3kg 봉,12900,40,과일,https://sitem.ssgcdn.com/30/72/68/item/1000028687230_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,
당도선별 아삭한 복숭아 1.8kg 박스,29900,30,과일,https://sitem.ssgcdn.com/74/15/34/item/1000697341574_i1_290.jpg,6,0,#간식과일 #달달한 #복숭아,,,
[바로먹는] 미국산 냉동 블루베리 1kg 봉,11900,60,과일,https://sitem.ssgcdn.com/10/73/14/item/1000644147310_i1_290.jpg,9,0,#간식과일 #블루베리 #수입산,,,
I`mperfect 당도선별 못난이 사과 2kg 봉,14900,10,과일,https://sitem.ssgcdn.com/52/37/28/item/1000633283752_i1_290.jpg,0,0,#간식과일 #달달한 #못난이과일,,,
데일리 당도선별 사과 1.5kg 봉,14900,0,과일,https://sitem.ssgcdn.com/75/98/28/item/1000633289875_i1_290.jpg,0,0,#간식과일 #달달한 #비타민충전,,,
유명산지 김천 자두 1kg 팩,14900,30,과일,https://sitem.ssgcdn.com/62/16/34/item/1000697341662_i1_290.jpg,3,0,#간식과일 #신선한과일 #자두,,,
미국산 항공직송 알이 큰 체리 500g 팩 (9.5Row),19900,50,과일,https://sitem.ssgcdn.com/64/72/75/item/1000705757264_i1_290.jpg,0,0,#간식과일 #수입산 #체리,,,
저탄소인증 마음이 예쁜 작은 배 4~5입/봉 (1.5kg내외),11980,10,과일,https://sitem.ssgcdn.com/45/39/47/item/1000684473945_i1_290.jpg,0,0,#간식과일 #비타민충전 #제철과일,,,자연주의
